,year,month,unemployment,region
0,2017,1,4.7,United States
1,2017,2,4.6,United States
2,2017,3,4.4,United States
3,2017,4,4.4,United States
4,2017,5,4.4,United States
5,2017,6,4.3,United States
6,2017,7,4.3,United States
7,2017,8,4.4,United States
8,2017,9,4.3,United States
9,2017,10,4.2,United States
10,2017,11,4.2,United States
11,2017,12,4.1,United States
12,2018,1,4.0,United States
13,2018,2,4.1,United States
14,2018,3,4.0,United States
15,2018,4,4.0,United States
16,2018,5,3.8,United States
17,2018,6,4.0,United States
18,2018,7,3.8,United States
19,2018,8,3.8,United States
20,2018,9,3.7,United States
21,2018,10,3.8,United States
22,2018,11,3.8,United States
23,2018,12,3.9,United States
24,2019,1,4.0,United States
25,2019,2,3.8,United States
26,2019,3,3.8,United States
27,2019,4,3.7,United States
28,2019,5,3.6,United States
29,2019,6,3.6,United States
30,2019,7,3.7,United States
31,2019,8,3.6,United States
32,2019,9,3.5,United States
33,2019,10,3.6,United States
34,2019,11,3.6,United States
35,2019,12,3.6,United States
36,2020,1,3.6,United States
37,2020,2,3.5,United States
38,2020,3,4.4,United States
39,2020,4,14.8,United States
40,2020,5,13.2,United States
41,2020,6,11.0,United States
42,2020,7,10.2,United States
43,2020,8,8.4,United States
44,2020,9,7.8,United States
45,2020,10,6.8,United States
46,2020,11,6.7,United States
47,2020,12,6.7,United States
48,2021,1,6.4,United States
49,2021,2,6.2,United States
50,2021,3,6.1,United States
51,2021,4,6.1,United States
52,2021,5,5.8,United States
53,2021,6,5.9,United States
54,2021,7,5.4,United States
55,2021,8,5.1,United States
56,2021,9,4.7,United States
57,2021,10,4.5,United States
58,2021,11,4.1,United States
59,2021,12,3.9,United States
60,2017,01,7.2,Canada
61,2017,02,7.0,Canada
62,2017,03,7.2,Canada
63,2017,04,6.8,Canada
64,2017,05,6.6,Canada
65,2017,06,6.1,Canada
66,2017,07,6.6,Canada
67,2017,08,6.9,Canada
68,2017,09,5.7,Canada
69,2017,10,5.8,Canada
70,2017,11,5.6,Canada
71,2017,12,5.6,Canada
72,2018,01,6.3,Canada
73,2018,02,6.3,Canada
74,2018,03,6.3,Canada
75,2018,04,6.0,Canada
76,2018,05,5.9,Canada
77,2018,06,5.7,Canada
78,2018,07,6.0,Canada
79,2018,08,6.6,Canada
80,2018,09,5.4,Canada
81,2018,10,5.2,Canada
82,2018,11,5.2,Canada
83,2018,12,5.2,Canada
84,2019,01,6.2,Canada
85,2019,02,6.1,Canada
86,2019,03,6.3,Canada
87,2019,04,5.9,Canada
88,2019,05,5.5,Canada
89,2019,06,5.3,Canada
90,2019,07,6.0,Canada
91,2019,08,6.4,Canada
92,2019,09,5.1,Canada
93,2019,10,5.0,Canada
94,2019,11,5.4,Canada
95,2019,12,5.1,Canada
96,2020,01,5.9,Canada
97,2020,02,6.0,Canada
98,2020,03,8.9,Canada
99,2020,04,14.0,Canada
100,2020,05,14.3,Canada
101,2020,06,11.9,Canada
102,2020,07,11.4,Canada
103,2020,08,11.1,Canada
104,2020,09,8.4,Canada
105,2020,10,8.2,Canada
106,2020,11,8.0,Canada
107,2020,12,8.2,Canada
108,2021,01,9.9,Canada
109,2021,02,8.8,Canada
110,2021,03,8.2,Canada
111,2021,04,8.4,Canada
112,2021,05,8.4,Canada
113,2021,06,7.4,Canada
114,2021,07,7.7,Canada
115,2021,08,8.1,Canada
116,2021,09,6.5,Canada
117,2021,10,5.9,Canada
118,2021,11,5.7,Canada
119,2021,12,5.5,Canada
120,2017,1,4.7,United Kingdom
121,2017,2,4.6,United Kingdom
122,2017,3,4.6,United Kingdom
123,2017,4,4.5,United Kingdom
124,2017,5,4.5,United Kingdom
125,2017,6,4.4,United Kingdom
126,2017,7,4.4,United Kingdom
127,2017,8,4.3,United Kingdom
128,2017,9,4.3,United Kingdom
129,2017,10,4.3,United Kingdom
130,2017,11,4.4,United Kingdom
131,2017,12,4.4,United Kingdom
132,2018,1,4.3,United Kingdom
133,2018,2,4.3,United Kingdom
134,2018,3,4.3,United Kingdom
135,2018,4,4.2,United Kingdom
136,2018,5,4.1,United Kingdom
137,2018,6,4.1,United Kingdom
138,2018,7,4.1,United Kingdom
139,2018,8,4.2,United Kingdom
140,2018,9,4.1,United Kingdom
141,2018,10,4.1,United Kingdom
142,2018,11,4.1,United Kingdom
143,2018,12,4.0,United Kingdom
144,2019,1,4.0,United Kingdom
145,2019,2,3.9,United Kingdom
146,2019,3,3.9,United Kingdom
147,2019,4,3.9,United Kingdom
148,2019,5,4.0,United Kingdom
149,2019,6,3.9,United Kingdom
150,2019,7,4.0,United Kingdom
151,2019,8,3.9,United Kingdom
152,2019,9,3.9,United Kingdom
153,2019,10,3.9,United Kingdom
154,2019,11,3.9,United Kingdom
155,2019,12,4.0,United Kingdom
156,2020,1,4.1,United Kingdom
157,2020,2,4.1,United Kingdom
158,2020,3,4.2,United Kingdom
159,2020,4,4.2,United Kingdom
160,2020,5,4.2,United Kingdom
161,2020,6,4.4,United Kingdom
162,2020,7,4.7,United Kingdom
163,2020,8,5.0,United Kingdom
164,2020,9,5.2,United Kingdom
165,2020,10,5.2,United Kingdom
166,2020,11,5.3,United Kingdom
167,2020,12,5.3,United Kingdom
168,2021,1,5.2,United Kingdom
169,2021,2,5.1,United Kingdom
170,2021,3,5.0,United Kingdom
171,2021,4,5.0,United Kingdom
172,2021,5,4.8,United Kingdom
173,2021,6,4.7,United Kingdom
174,2021,7,4.6,United Kingdom
175,2021,8,4.4,United Kingdom
176,2021,9,4.3,United Kingdom
177,2021,10,4.2,United Kingdom
178,2021,11,4.2,United Kingdom
179,2021,12,4.1,United Kingdom
